_id,city,lat,lng,country,iso2,admin,capital,population,population_proper
ObjectId("5e4d6134af7600474e6bb1db"),Rekovac,43.860913,21.095774,Serbia,RS,Rekovac,admin,,
ObjectId("5e4d6134af7600474e6bb1dc"),Leskovac,42.997558,21.944496,Serbia,RS,Leskovac,admin,,
ObjectId("5e4d6134af7600474e6bb1dd"),Golubac,44.652912,21.630772,Serbia,RS,Golubac,admin,,
ObjectId("5e4d6134af7600474e6bb1de"),Ub,44.457197,20.076242,Serbia,RS,Ub,admin,,
ObjectId("5e4d6134af7600474e6bb1df"),Bačka Topola,45.815206,19.636943,Serbia,RS,Bačka Topola,admin,,
ObjectId("5e4d6134af7600474e6bb1e0"),Bački Petrovac,45.36157,19.591981,Serbia,RS,Bački Petrovac,admin,,
ObjectId("5e4d6134af7600474e6bb1e1"),Titel,45.206014,20.294882,Serbia,RS,Titel,admin,,
ObjectId("5e4d6134af7600474e6bb1e2"),Odžaci,45.50763,19.260601,Serbia,RS,Odžaci,admin,,
ObjectId("5e4d6134af7600474e6bb1e3"),Bač,45.392276,19.236684,Serbia,RS,Bač,admin,,
ObjectId("5e4d6134af7600474e6bb1e4"),Čajetina,43.749736,19.714951,Serbia,RS,Čajetina,admin,,
ObjectId("5e4d6134af7600474e6bb1e5"),Barajevo,44.579011,20.417895,Serbia,RS,Beograd,minor,,
ObjectId("5e4d6134af7600474e6bb1e6"),Požarevac,44.622213,21.182589,Serbia,RS,Požarevac,admin,,
ObjectId("5e4d6134af7600474e6bb1e7"),Raška,43.28595,20.613515,Serbia,RS,Raška,admin,,
ObjectId("5e4d6134af7600474e6bb1e8"),Lapovo,44.187731,21.09687,Serbia,RS,Lapovo,admin,,
ObjectId("5e4d6134af7600474e6bb1e9"),Trstenik,43.616944,21.0025,Serbia,RS,Trstenik,admin,,
ObjectId("5e4d6134af7600474e6bb1ea"),Preševo,42.307058,21.650034,Serbia,RS,Preševo,admin,,
ObjectId("5e4d6134af7600474e6bb1eb"),Vrbas,45.570426,19.647857,Serbia,RS,Vrbas,admin,,
ObjectId("5e4d6134af7600474e6bb1ec"),Kladovo,44.607292,22.615474,Serbia,RS,Kladovo,admin,,
ObjectId("5e4d6134af7600474e6bb1ed"),Ćićevac,43.719967,21.443617,Serbia,RS,Ćićevac,admin,,
ObjectId("5e4d6134af7600474e6bb1ee"),Valjevo,44.271955,19.887437,Serbia,RS,Valjevo,admin,,
ObjectId("5e4d6134af7600474e6bb1ef"),Varvarin,43.719517,21.371223,Serbia,RS,Varvarin,admin,,
ObjectId("5e4d6134af7600474e6bb1f0"),Apatin,45.67092,18.984344,Serbia,RS,Apatin,admin,,
ObjectId("5e4d6134af7600474e6bb1f1"),Novi Bečej,45.601466,20.136361,Serbia,RS,Novi Bečej,admin,,
ObjectId("5e4d6134af7600474e6bb1f2"),Inđija,45.048162,20.081647,Serbia,RS,Inđija,admin,,
ObjectId("5e4d6134af7600474e6bb1f3"),Vladičin Han,42.708202,22.066365,Serbia,RS,Vladičin Han,admin,,
ObjectId("5e4d6134af7600474e6bb1f4"),Sokobanja,43.645293,21.869178,Serbia,RS,Sokobanja,admin,,
